source,target,type
NamedEntity,BaseEntity,extends
Person,BaseEntity,extends
Owner,Person,extends
Owner,Pet,jpa
Owner,Visit,jpa
OwnerController,Owner,unknown
Pet,NamedEntity,extends
Pet,Visit,jpa
PetController,PetValidator,unknown
PetController,Pet,unknown
PetController,PetType,unknown
PetController,Owner,unknown
PetType,NamedEntity,extends
PetTypeFormatter,Pet,unknown
PetTypeFormatter,PetType,unknown
PetValidator,Pet,unknown
Visit,BaseEntity,extends
VisitController,Pet,unknown
VisitController,Owner,unknown
VisitController,Visit,unknown
PetClinicApplication,Pet,unknown
PetClinicRuntimeHints,BaseEntity,unknown
PetClinicRuntimeHints,Person,unknown
PetClinicRuntimeHints,Vet,unknown
Specialty,NamedEntity,extends
Vet,Person,extends
Vet,NamedEntity,extends
Vet,Specialty,jpa
VetController,Vets,unknown
VetController,Vet,unknown
PetTypeRepository,PetType,repository
OwnerRepository,Owner,repository
VetRepository,Vet,repository
PetTypeFormatter,PetTypeRepository,injection
PetController,OwnerRepository,injection
PetController,PetTypeRepository,injection
OwnerController,OwnerRepository,injection
VisitController,OwnerRepository,injection
VetController,VetRepository,injection
Vets,Vet,composition
